dataset,rows,cols,nnzs,merge-path,thread-mapped,group-mapped,minimum,elapsed,cusparse,speed-up,kernel,oracle-speed-up-kernel,oracle-speed-up
amazon0312,400727,400727,3200440,0.098877,0.119141,0.136192,0.098877,0.098877,0.119873,1.21234463,merge-path,merge-path,1.21234463
amazon0505,410236,410236,3356824,0.101074,0.125977,,0.101074,0.101074,0.11792,1.166669965,merge-path,merge-path,1.166669965
amazon0601,403394,403394,3387388,0.0998535,0.125,0.11776,0.0998535,0.0998535,0.114014,1.141812756,merge-path,merge-path,1.141812756
analytics,303813,303813,2006126,0.0639648,2.32617,,0.0639648,0.0639648,0.0891113,1.393130284,merge-path,merge-path,1.393130284
Andrews,60000,60000,760154,0.0429688,0.0319824,,0.0319824,0.0429688,0.0739746,1.721588688,merge-path,thread-mapped,2.312978388
apache1,80800,80800,542184,0.0290527,0.0161133,0.031744,0.0161133,0.0290527,0.0568848,1.957986693,merge-path,thread-mapped,3.530301056
apache2,715176,715176,4817870,0.13208,0.116211,0.12496,0.116211,0.13208,0.14209,1.075787402,merge-path,thread-mapped,1.222689763
appu,14000,14000,1853104,0.0529785,0.0749512,0.34304,0.0529785,0.0529785,0.0830078,1.566820503,merge-path,merge-path,1.566820503
ar2010,186211,186211,904310,0.0419922,0.0388184,0.048128,0.0388184,0.0419922,0.0759277,1.808138178,merge-path,thread-mapped,1.95597191
arabic-2005,22744080,22744080,639999458,7.65796,29.7859,17.3076,7.65796,7.65796,8.19287,1.069850195,merge-path,merge-path,1.069850195
arc130,130,130,1282,0.019043,0.0168457,0.031776,0.0168457,0.0168457,0.045166,2.68115899,group-mapped,thread-mapped,2.68115899
as-22july06,22963,22963,96872,0.0200195,0.134033,,0.0200195,0.0200195,0.0549316,2.743904693,merge-path,merge-path,2.743904693
as-735,7716,7716,26467,0.019043,0.0678711,0.069632,0.019043,0.019043,0.052002,2.730767211,merge-path,merge-path,2.730767211
as-735_G_001,7716,7716,10695,0.0209961,0.0368652,0.034816,0.0209961,0.0209961,0.0559082,2.662789756,merge-path,merge-path,2.662789756
as-735_G_002,7716,7716,10687,0.0187988,0.0380859,0.033792,0.0187988,0.0187988,0.0598145,3.181825436,merge-path,merge-path,3.181825436
as-735_G_003,7716,7716,10773,0.0219727,0.0368652,0.03376,0.0219727,0.0219727,0.059082,2.688882113,merge-path,merge-path,2.688882113
as-735_G_004,7716,7716,10736,0.0209961,0.0371094,0.03584,0.0209961,0.0209961,0.0588379,2.802325194,merge-path,merge-path,2.802325194
as-735_G_005,7716,7716,10782,0.0200195,0.0378418,0.036864,0.0200195,0.0200195,0.0561523,2.804880242,merge-path,merge-path,2.804880242
as-735_G_006,7716,7716,10631,0.0187988,0.0368652,0.034816,0.0187988,0.0187988,0.0532227,2.831175394,merge-path,merge-path,2.831175394
as-735_G_007,7716,7716,10799,0.0200195,0.0368652,0.03584,0.0200195,0.0200195,0.0539551,2.695127251,merge-path,merge-path,2.695127251
as-735_G_008,7716,7716,10723,0.019043,0.0368652,0.03584,0.019043,0.019043,0.0559082,2.935892454,merge-path,merge-path,2.935892454
as-735_G_009,7716,7716,10813,0.0180664,0.0361328,0.034784,0.0180664,0.0180664,0.0559082,3.094595492,merge-path,merge-path,3.094595492
as-735_G_010,7716,7716,10809,0.0187988,0.0361328,0.03584,0.0187988,0.0187988,0.0559082,2.974030257,merge-path,merge-path,2.974030257
as-735_G_011,7716,7716,10866,0.0187988,0.0368652,0.036864,0.0187988,0.0187988,0.0581055,3.090915378,merge-path,merge-path,3.090915378
as-735_G_012,7716,7716,10867,0.0200195,0.0371094,0.034816,0.0200195,0.0200195,0.0541992,2.707320363,merge-path,merge-path,2.707320363
as-735_G_013,7716,7716,10925,0.0219727,0.0380859,0.033792,0.0219727,0.0219727,0.059082,2.688882113,merge-path,merge-path,2.688882113
as-735_G_014,7716,7716,10949,0.0187988,0.0380859,0.033792,0.0187988,0.0187988,0.0551758,2.935070324,merge-path,merge-path,2.935070324
