kernel,dataset,rows,cols,nnzs,elapsed
thread-mapped,bayer08,3008,3008,27576,0.0151367
thread-mapped,bayer09,3083,3083,21216,0.0129395
thread-mapped,bayer10,13436,13436,94926,0.0129395
thread-mapped,bbmat,38744,38744,1771722,0.0598145
thread-mapped,bcircuit,68902,68902,375558,0.0151367
thread-mapped,bcspwr01,39,39,131,0.0119629
thread-mapped,bcspwr02,49,49,167,0.0119629
thread-mapped,bcspwr03,118,118,476,0.0109863
thread-mapped,bcspwr04,274,274,1612,0.0119629
thread-mapped,bcspwr05,443,443,1623,0.0151367
thread-mapped,bcspwr06,1454,1454,5300,0.0119629
thread-mapped,bcspwr07,1612,1612,5824,0.0109863
thread-mapped,bcspwr08,1624,1624,6050,0.0119629
thread-mapped,bcspwr09,1723,1723,6511,0.012207
thread-mapped,bcspwr10,5300,5300,21842,0.012207
thread-mapped,bcsstk01,48,48,400,0.012207
thread-mapped,bcsstk02,66,66,4356,0.0148926
thread-mapped,bcsstk03,112,112,640,0.0151367
thread-mapped,bcsstk04,132,132,3648,0.0161133
thread-mapped,bcsstk05,153,153,2423,0.0129395
thread-mapped,bcsstk06,420,420,7860,0.0129395
thread-mapped,bcsstk07,420,420,7860,0.0129395
thread-mapped,bcsstk08,1074,1074,12960,0.0219727
thread-mapped,bcsstk09,1083,1083,18437,0.013916
thread-mapped,bcsstk10,1086,1086,22070,0.0129395
thread-mapped,bcsstk11,1473,1473,34241,0.0168457
thread-mapped,bcsstk12,1473,1473,34241,0.0129395
thread-mapped,bcsstk13,2003,2003,83883,0.0180664
thread-mapped,bcsstk14,1806,1806,63454,0.0161133
thread-mapped,bcsstk15,3948,3948,117816,0.013916
thread-mapped,bcsstk16,4884,4884,290378,0.0180664
thread-mapped,bcsstk17,10974,10974,428650,0.0239258
thread-mapped,bcsstk18,11948,11948,149090,0.0148926
thread-mapped,bcsstk19,817,817,6853,0.0119629
thread-mapped,bcsstk20,485,485,3135,0.012207
thread-mapped,bcsstk21,3600,3600,26600,0.013916
thread-mapped,bcsstk22,138,138,696,0.0141602
thread-mapped,bcsstk23,3134,3134,45178,0.0129395
thread-mapped,bcsstk24,3562,3562,159910,0.0161133
thread-mapped,bcsstk25,15439,15439,252241,0.0161133
thread-mapped,bcsstk26,1922,1922,30336,0.013916
thread-mapped,bcsstk27,1224,1224,56126,0.0170898
thread-mapped,bcsstk28,4410,4410,219024,0.0180664
thread-mapped,bcsstk29,13992,13992,619488,0.0251465
thread-mapped,bcsstk30,28924,28924,2043492,0.0678711
thread-mapped,bcsstk31,35588,35588,1181416,0.0529785
thread-mapped,bcsstk32,44609,44609,2014701,0.0861816
thread-mapped,bcsstk33,8738,8738,591904,0.0200195
thread-mapped,bcsstk34,588,588,21418,0.013916
thread-mapped,bcsstk35,30237,30237,1450163,0.0568848
thread-mapped,bcsstk36,23052,23052,1143140,0.046875
thread-mapped,bcsstk37,25503,25503,1140977,0.0441895
thread-mapped,bcsstk38,8032,8032,355460,0.0400391
thread-mapped,bcsstk39,46772,46772,2089294,0.0900879
thread-mapped,bcsstm01,48,48,48,0.0100098
thread-mapped,bcsstm02,66,66,66,0.0100098
thread-mapped,bcsstm03,112,112,112,0.0100098
thread-mapped,bcsstm04,132,132,132,0.0119629
thread-mapped,bcsstm05,153,153,153,0.0112305
thread-mapped,bcsstm06,420,420,420,0.0119629
thread-mapped,bcsstm07,420,420,7252,0.0129395
thread-mapped,bcsstm08,1074,1074,1074,0.0100098
thread-mapped,bcsstm09,1083,1083,1083,0.0100098
thread-mapped,bcsstm10,1086,1086,22092,0.0151367
thread-mapped,bcsstm11,1473,1473,1473,0.0112305
thread-mapped,bcsstm12,1473,1473,19659,0.0148926
thread-mapped,bcsstm13,2003,2003,21943,0.0151367
thread-mapped,bcsstm19,817,817,817,0.0100098
thread-mapped,bcsstm20,485,485,485,0.0119629
thread-mapped,bcsstm21,3600,3600,3600,0.0090332
thread-mapped,bcsstm22,138,138,138,0.0100098
thread-mapped,bcsstm23,3134,3134,3134,0.0131836
thread-mapped,bcsstm24,3562,3562,3562,0.0109863
thread-mapped,bcsstm25,15439,15439,15439,0.0109863
thread-mapped,bcsstm26,1922,1922,1922,0.0109863
thread-mapped,bcsstm27,1224,1224,56126,0.0170898
thread-mapped,bcsstm34,588,588,24270,0.0158691
thread-mapped,bcsstm35,30237,30237,20619,0.013916
thread-mapped,bcsstm36,23052,23052,320606,0.0161133
thread-mapped,bcsstm37,25503,25503,15525,0.0109863
thread-mapped,bcsstm38,8032,8032,10485,0.0109863
thread-mapped,bcsstm39,46772,46772,46772,0.0109863
thread-mapped,beacxc,497,506,50409,0.0419922
thread-mapped,beaflw,497,507,53403,0.0441895
thread-mapped,beause,497,507,44551,0.0419922
thread-mapped,belgium_osm,1441295,1441295,3099940,0.0981445
thread-mapped,BenElechi1,245874,245874,13150496,0.798096
thread-mapped,BenElechi1_b,245874,40543,971682,0.0258789
thread-mapped,benzene,8219,8219,242669,0.0170898
thread-mapped,bfly,49152,49152,196608,0.0158691
thread-mapped,bfly_G_01,24,24,96,0.0100098
thread-mapped,bfly_G_02,64,64,256,0.0141602
thread-mapped,bfly_G_03,160,160,640,0.0100098
thread-mapped,bfly_G_04,384,384,1536,0.0109863
thread-mapped,bfly_G_05,896,896,3584,0.0119629
thread-mapped,bfly_G_06,2048,2048,8192,0.0119629
thread-mapped,bfly_G_07,4608,4608,18432,0.0109863
thread-mapped,bfly_G_08,10240,10240,40960,0.0119629
thread-mapped,bfly_G_09,22528,22528,90112,0.0119629
thread-mapped,bfly_G_10,49152,49152,196608,0.0129395
thread-mapped,bfwa398,398,398,3678,0.0131836
thread-mapped,bfwa62,62,62,450,0.0161133
thread-mapped,bfwa782,782,782,7514,0.0119629
thread-mapped,bfwb398,398,398,2910,0.0119629
thread-mapped,bfwb62,62,62,342,0.0119629
thread-mapped,bfwb782,782,782,5982,0.0109863
thread-mapped,bibd_11_5,55,462,4620,0.0158691
thread-mapped,bibd_12_4,66,495,2970,0.0148926
thread-mapped,bibd_12_5,66,792,7920,0.019043
thread-mapped,bibd_13_6,78,1716,25740,0.0361328
thread-mapped,bibd_14_7,91,3432,72072,0.0910645
thread-mapped,bibd_15_3,105,455,1365,0.0119629
thread-mapped,bibd_15_7,105,6435,135135,0.133057
