kernel,dataset,rows,cols,nnzs,elapsed
merge-path,com-DBLP,317080,317080,2099732,0.0769043
merge-path,com-DBLP_Communities_all,317080,13477,719820,0.0410156
merge-path,com-DBLP_Communities_top5000,317080,5000,112228,0.0231934
merge-path,com-Friendster_Communities_all,65608366,1620991,23479217,2.3562
merge-path,com-Friendster_Communities_top5000,65608366,5000,234032,1.09692
merge-path,com-LiveJournal,3997962,3997962,69362378,2.18994
merge-path,com-LiveJournal_Communities_all,3997962,664414,7168359,0.246094
merge-path,com-LiveJournal_Communities_top5000,3997962,5000,139012,0.104004
merge-path,com-Orkut,3072441,3072441,234370166,7.27197
merge-path,com-Orkut_Communities_all,3072441,15301901,107080530,9.30298
merge-path,com-Orkut_Communities_top5000,3072441,5000,1078576,0.113037
merge-path,com-Youtube,1134890,1134890,5975248,0.202148
merge-path,com-Youtube_Communities_all,1134890,16386,129202,0.0419922
merge-path,com-Youtube_Communities_top5000,1134890,5000,72959,0.0410156
merge-path,commanche_dual,7920,7920,31680,0.019043
merge-path,complex,1023,1408,46463,0.0187988
merge-path,comsol,1500,1500,97645,0.019043
merge-path,cond-mat,16726,16726,95188,0.0200195
merge-path,cond-mat-2003,31163,31163,240058,0.0229492
merge-path,cond-mat-2005,40421,40421,351386,0.026123
merge-path,connectus,512,394792,1127525,0.0358887
merge-path,consph,83334,83334,6010480,0.110107
merge-path,cont-201,80595,80595,438795,0.0268555
